,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
2021,2016-02-03,2.0A,96.45254976000001,43.94465999999999
2022,2016-02-04,2.0.DHA,76.74444219833333,42.41007666666666
2023,2016-02-04,2.0.DHS,77.17868443666667,42.46382666666667
2024,2016-02-04,2.0A,96.99865789208332,44.582576666666675
2025,2016-02-05,2.0.DHA,81.16508887916667,45.75924333333333
2026,2016-02-05,2.0.DHS,81.60664667166667,45.81299333333333
2027,2016-02-05,2.0A,101.7115659720833,47.93174333333334
2028,2016-02-06,2.0.DHA,70.83449773458334,36.64549333333334
2029,2016-02-06,2.0.DHS,71.21905457791668,36.699243333333335
2030,2016-02-06,2.0A,91.31592203583334,38.817993333333334
2031,2016-02-07,2.0.DHA,59.64019983958334,26.515493333333335
2032,2016-02-07,2.0.DHS,59.982994174166684,26.569243333333336
2033,2016-02-07,2.0A,79.77107834750002,28.687993333333335
2034,2016-02-08,2.0.DHA,72.66086260416667,38.99841
2035,2016-02-08,2.0.DHS,73.04941507125,39.05216
2036,2016-02-08,2.0A,92.86963187041668,41.17091
2037,2016-02-09,2.0.DHA,65.36786614166668,32.58132666666666
2038,2016-02-09,2.0.DHS,65.71772657333334,32.63507666666666
2039,2016-02-09,2.0A,85.44671124791667,34.75382666666666
2040,2016-02-10,2.0.DHA,68.76925334291668,35.53840999999999
2041,2016-02-10,2.0.DHS,69.13349472333334,35.59216
2042,2016-02-10,2.0A,88.91534225999999,37.71091
2043,2016-02-11,2.0.DHA,73.76538553166667,39.98841000000001
2044,2016-02-11,2.0.DHS,74.15623360333332,40.04216
2045,2016-02-11,2.0A,94.04118247541665,42.160909999999994
2046,2016-02-12,2.0.DHA,65.6029697125,32.613409999999995
2047,2016-02-12,2.0.DHS,65.91838167166667,32.66716
2048,2016-02-12,2.0A,85.83372513874998,34.78591000000001
2049,2016-02-13,2.0.DHA,50.68547523458332,19.63924333333333
2050,2016-02-13,2.0.DHS,50.89355374458333,19.69299333333333
2051,2016-02-13,2.0A,70.6470224525,21.81174333333333
2052,2016-02-14,2.0.DHA,49.36883150624999,18.152576666666665
2053,2016-02-14,2.0.DHS,49.58117292416666,18.206326666666666
2054,2016-02-14,2.0A,69.3601545975,20.325076666666664
2055,2016-02-15,2.0.DHA,60.63596927083335,28.693826666666666
2056,2016-02-15,2.0.DHS,60.962195904583346,28.747576666666664
2057,2016-02-15,2.0A,80.65893645375,30.866326666666662
2058,2016-02-16,2.0.DHA,76.550619475,42.065909999999995
2059,2016-02-16,2.0.DHS,77.04713824,42.119659999999996
2060,2016-02-16,2.0A,96.75406958124996,44.23841000000001
